Ort_Name;ID_Bundesland;Bevoelkerungsstand_insgesamt;Bevoelkerungsstand_maennlich;Bevoelkerungsstand_weiblich;Kreise_und_Stadt
Ebersberg;9;146830;73169;73661;Landkreis
Eichstätt;9;135591;68634;66957;Landkreis
Erding;9;141680;71117;70563;Landkreis
Freising;9;184433;94031;90402;Landkreis
Fürstenfeldbruck;9;221612;108617;112995;Landkreis
Garmisch-Partenkirchen;9;88840;42925;45915;Landkreis
Landsberg am Lech;9;123032;61199;61833;Landkreis
Miesbach;9;101346;49603;51743;Landkreis
Mühldorf;9;119878;60544;59334;Landkreis
Neuburg-Schrobenhausen;9;99957;50240;49717;Landkreis
Pfaffenhofen;9;132082;67028;65054;Landkreis
Starnberg;9;138785;66902;71883;Landkreis
Traunstein;9;180779;89067;91712;Landkreis
Weilheim-Schongau;9;138208;68259;69949;Landkreis
Landshut;9;75457;36833;38624;kreisfreie Stadt
Passau;9;53907;26167;27740;kreisfreie Stadt
Straubing;9;49164;24797;24367;kreisfreie Stadt
Deggendorf;9;122121;61353;60768;Landkreis
Freyung-Grafenau;9;79286;39459;39827;Landkreis
Kelheim;9;125701;63520;62181;Landkreis
Regen;9;78035;38968;39067;Landkreis
Rottal-Inn;9;124436;62503;61933;Landkreis
Straubing-Bogen;9;103806;52035;51771;Landkreis
Dingolfing-Landau;9;100306;51473;48833;Landkreis
Amberg;9;42534;20920;21614;kreisfreie Stadt
Regensburg;9;157443;76690;80753;kreisfreie Stadt
Weiden i.d.OPf.;9;43052;20833;22219;kreisfreie Stadt
Amberg-Sulzbach;9;104436;52328;52108;Landkreis
Cham;9;130193;65441;64752;Landkreis
Neumarkt i.d.OPf.;9;138086;69843;68243;Landkreis
Neustadt a.d.Waldnaab;9;95954;47697;48257;Landkreis
Schwandorf;9;151711;76171;75540;Landkreis
Tirschenreuth;9;72172;35790;36382;Landkreis
Bayreuth;9;74506;36399;38107;kreisfreie Stadt
Bamberg;9;149122;74606;74516;Landkreis
Coburg;9;87103;43107;43996;Landkreis
Forchheim;9;117948;58401;59547;Landkreis
Hof;9;94589;46307;48282;Landkreis
Kronach;9;66393;32798;33595;Landkreis
Kulmbach;9;71653;35199;36454;Landkreis
Lichtenfels;9;67328;33189;34139;Landkreis
Wunsiedel i.Fichtelgebirge;9;72006;35123;36883;Landkreis
Erlangen;9;116562;57940;58622;kreisfreie Stadt
Fürth;9;131433;64348;67085;kreisfreie Stadt
